id,intitule,description,typeContrat,lieuTravail,dateCreation,dureeTravailLibelle,salaire
192QKGH,Auxiliaire de puériculture TOURNON SUR RHONE (H/F),"Pour le l'ouverture en septembre 2025 la micro crèche PLOOM recherche un-e auxiliaire de puériculture.
La prise de poste se fera sur la dernière semaine d'aout pour préparer l'accueil des enfants.

Vos principales missions consisteront à :

Accueillir l'enfant et le guider à son arrivée dans la structure ; 
Accomplir des soins de base aux nouveau-nés ou enfants en bas-âge (pesée, mesure, change, toilettes et soins alimentaires) et signaler les modifications de l'état de santé de l'enfant aux personnes concernées ; 
Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne (parler, marcher, manger et s'habiller seul) et des règles de vie en collectivité ; 
Mettre en place, organiser et participer à des activités d'éveil et éducatives (jeux, chansons et dessins) .
Aménager l'espace de vie et d'accueil des enfants, suivant les règles de sécurité, et entretenir les locaux.

Votre profil 
Vous disposez du diplôme d'État d'auxiliaire de puériculture (DEAP) 
Et, vous possédez une première expérience en tant qu'auxiliaire de puériculture 
Patience, disponibilité et vigilance sont vos principales qualités 
De plus, vous savez faire preuve de rigueur, d'imagination et d'esprit d'initiative",CDI,07 - TOURNON SUR RHONE,2025-05-19T13:35:21.863Z,35H Autre,Mensuel de 1923.0 Euros sur 12.0 mois
192QFGG,Agent de Sécurité (H/F)," RECRUTEMENT : AGENT DE SÉCURITÉ (CDI - TEMPS PLEIN) 
 Localisation : Annonay et alentours
 Type de contrat : CDI - Temps plein
 Horaires : Variables selon missions (jour/nuit, semaine/weekend)
 Rémunération : Selon profil + primes

 Pourquoi nous rejoindre ?
 Des missions variées : Surveillance de sites industriels, sécurisation d'événements, rondes de prévention. Pas de routine, chaque jour est différent !
 Une équipe soudée : Travailler chez Alpha Protect Sécurité, c'est intégrer une entreprise à taille humaine qui mise sur le respect et l'évolution de ses collaborateurs.
 Des perspectives d'évolution : Formations régulières et opportunités de montée en compétence.

 Vos missions :
 Assurer la protection des biens et des personnes sur différents sites.
 Effectuer des rondes de surveillance et des interventions en cas d'incident.
 Gérer les accès et contrôles d'entrées (filtrage, palpations selon missions).
 Appliquer les consignes de sécurité et réagir efficacement en cas d'urgence.
 Rédiger des rapports d'intervention et signaler tout incident.

 Votre profil :
 Carte professionnelle d'agent de sécurité en cours de validité (obligatoire).
 Habilitation SSIAP 1 (un vrai +, mais pas obligatoire).
 Sens de l'observation, réactivité et excellent relationnel.
 Sérieux, ponctuel et avec un vrai esprit d'équipe.

 Les + chez nous :

 CDI stable : Sécurisez votre avenir avec un contrat longue durée.
 Prime de performance et heures supplémentaires rémunérées.
 Missions stimulantes et variées (événements, entreprises, sites sensibles.).
 Entreprise à taille humaine avec une direction proche des équipes.

 Prêt à relever le défi ? Rejoignez une équipe dynamique et passionnée !
 Postulez dès maintenant en envoyant votre CV à contact@alphaprotect07.com ou contactez-nous au 0659904440.",CDI,07 - ANNONAY,2025-05-19T11:49:01.935Z,35H Autre,Horaire de 11.88 Euros
192MHJY,Ouvrier vigneron en CDI à Mauves  h/f,"Vous participez à tous les travaux de la vigne au cours de l'année, et cela au sein d'une équipe. 

Vous êtes passionné par le travail de la vigne et le travail manuel. Vous réalisez des travaux en coteaux. Le travail en extérieur vous plaît et vous appréciez de travailler en équipe. Une expérience passée dans la vigne serait un avantage. 
Vous êtes rigoureux, assidu et de bonne volonté.",CDI,07 - MAUVES,2025-05-15T13:56:43.516Z,35H En extérieur,
192KWZY,GESTIONNAIRE COMPTABLE (H/F),"Le Centre Hospitalier de Privas Ardèche est l'un des cinq établissements pivots de santé du G.H.T. Drôme Ardèche Vercors.
Le Centre Hospitalier est composé de 2 pôles d'activité :

-pôle sanitaire, complet en termes d'activités soignantes et médico-techniques
-pôle médico-social, dont les activités sont réparties sur des sites annexes : EHPAD, Résidence du Montoulon à Privas, EHPAD Rivoly à La Voulte sur Rhône et l'EHPAD Yves Perrin à Chomérac (direction commune).

Le capacitaire est constitué de 182 lits et places pour le secteur sanitaire et 268 lits pour le secteur médico-social.

 Gestionnaire budgétaire en charge des Budgets Annexes et de l'EHPAD de Chomerac :

Missions principales :

- Le gestionnaire comptable est responsable des finances des budgets annexes et de l'EHPAD de Chomerac. Il veille à la bonne exécution comptable et budgétaire et assure un suivi rigoureux des opérations financières spécifiques à ces structures.

- Élaborer et suivre l'exécution budgétaire des budgets B (ULSD), E (EHPAD), et P (CSAPA), ainsi que de l'EHPAD de Chomerac.

- Mettre en œuvre les procédures comptables et assurer le suivi des crédits et des décisions modificatives.

- Superviser la gestion de la trésorerie et des outils bancaires (lignes de trésorerie, emprunts) de l'EHPAD de Chomerac.

- Gérer le Plan Pluriannuel d'Investissement, le suivi des amortissements et le fichier des actifs.

- Assurer la gestion des clôtures d'exercice (provisions, charges rattachées, intérêts courus, remboursements au budget H).

- Effectuer la transmission des données aux tutelles et répondre aux obligations réglementaires.

- Élaborer des tableaux de bord et assurer le suivi des indicateurs financiers.

- Participer à la préparation des instances (Conseils d'administration, Conseils de surveillance).

- Assurer une veille réglementaire et anticiper les évolutions législatives impactant les budgets annexes.

- Assurer la supervision de la facturation des budget Annexes et de l'EHPAD de Chomerac et des gestionnaires qui en ont la charge. 

- Assurer le rôle de référent budgétaire pour les gestionnaires des EHPAD. 

Assurer les remplacements du responsable du service pour toutes les demandes techniques. 

Compétences requises

  Maîtrise des réglementations comptables M21 et M22
  Rigueur et organisation dans le suivi des budgets annexes
  Capacité à travailler en transversalité avec les autres services
  Autonomie et esprit d'initiative

Les missions sont susceptibles d'évoluer en fonction des nécessités de service .

CDI, temps complet -forfait jours
Activité du lundi au vendredi
Avantages : restauration sur site, 19 RTT, CGOS",CDI,07 - PRIVAS,2025-05-14T14:28:06.795Z,35H Autre,
192KRCB,Agent / Agente de sécurité Saint Peray (H/F),"Pour un client dans le secteur de la vente de déstockage , nous recherchons un agent de sécurité à Saint-Peray (07)

Vos Missions :

Accueil et orientation du public, tout en relayant les informations,
Gestion du site avec une surveillance préventive et dissuasive,
Détection des comportements frauduleux et/ou dangereux
Prévention et participation aux procédures de contrôle, dont les tickets,
Gestion des conflits
Lutte contre la démarque inconnue
Arrière caisse, rondes sécurité

Profil recherché
Passionné(e) par la sureté, vous êtes reconnu(e) pour votre professionnalisme et savez garder la maitrise en toutes situations. Vous faites preuve de discernement et êtes physionomiste. Vous savez vous montrer courtois(e) tout en restant ferme. Précis(e) et fiable, vous êtes le(a) garant(e) du respect des règles légales et déontologiques.

La détention d'une carte professionnelle « Surveillance Humaine » valide est indispensable pour postuler à ce poste.

La possession d'une habilitation « Sauveteur et Secouriste du Travail » (SST) à jour est un plus.",CDI,07 - ST PERAY,2025-05-14T12:11:42.092Z,35H Autre,Mensuel de 1983.78 Euros à 2100.0 Euros sur 12.0 mois
192KGBK,Aide Boulanger(ère) (H/F),"NOTRE ENTREPRISE
En plein développement, les boulangeries Sophie LEBREUILLY comptent plus de 80 boutiques spécialisées dans la vente en boulangerie, viennoiserie, pâtisserie et restauration. Notre mission est de proposer à nos clients du pain et des gourmandises de qualité, accessibles à tous, pour tous les goûts et toute la journée au sein de lieux de convivialité.

Dans le cadre de notre développement, nous sommes à la recherche de notre futur(e) Aide boulanger(ère) afin de venir compléter l'équipe de la boulangerie située au cœur de la ville de Ruoms (07).

TES PRINCIPALES MISSIONS
- Participe à la préparation et à la cuisson de nos pains et viennoiseries en soutien de l'équipe de fabrication ;
- Aide à la préparation et à la cuisson de nos pizzas en veillant à leur fraîcheur et à leur gourmandise ;
- Travaille en équipe grâce à ton sens du relationnel ;
- Mets à profit ta rigueur pour respecter les règles de qualité, d'hygiène et de sécurité alimentaire.

TON PROFIL
Tu es passionné(e), dynamique, rigoureux(se) et tu as le goût du travail bien fait.
Tu souhaites développer ton expérience dans l'univers de la boulangerie. 

TES PETITS +
- 25% de remise sur toute la gamme pour te régaler ;
- Repas pris en charge à 100% sur le lieu de travail ;
- Remises CSE ;
- Primes sous conditions ;
- Des moments de convivialité à partager avec la famille Sophie.

INFORMATIONS COMPLEMENTAIRES
- Type de contrat : CDI
- Temps de travail : 35h/semaine
- Lieu de travail : Ruoms (07)
- Rémunération : à partir de 1 859.47€ brut/mois + variables (primes sur objectifs, prime de fin d'année, etc.).

Tous nos postes sont ouverts aux personnes en situation de handicap.

Si pour toi motivation rime avec ambition, alors prends rendez-vous avec ton avenir et envoie-nous ta candidature pour rejoindre la famille Sophie !",CDI,07 - Ruoms,2025-05-14T09:52:18.168Z,35H Autre,Mensuel de 1859.47 Euros sur 12.0 mois
192HXBZ,Agent / Agente des services hospitaliers          (H/F),"L'EHPAD Camous Salomon :

Situé à Marcols-Les-Eaux, au cœur du Parc Naturel Régional des Monts d'Ardèche, à 45 minutes de Privas et d'Aubenas, l'Établissement public d'Hébergement pour Personnes Agées Dépendantes (EHPAD) Camous Salomon dispose de 107 chambres dans un cadre de vie privilégié. 
A proximité immédiate du centre du village et de ses commerces, au sein d'un jardin thérapeutique, la maison de retraite affiche une ambiance familiale et chaleureuse. Médicalisée 24h/24, l'EHPAD a bénéficié de travaux de restructuration, et a ouvert depuis 2013, une unité de vie sécurisée accueillant des personnes âgées atteintes de maladies neurodégénératives avec troubles de comportement et permettant la déambulation en toute sécurité. Également, depuis 2018, l'établissement propose un accueil adapté aux résidents présentant des troubles Alzheimer ou apparentés dans le cadre d'un PASA (Pôle d'Activités et de Soins Adaptés) permettant un accompagnement adapté en journée.

Le poste d'agent des services hospitaliers : 

Vous travaillerez en 10 H entre 07h - 17h et 10h 30 à 20h30 avec un week-end sur trois pour les temps plein.

Au sein d'une résidence pour personnes âgées, vous êtes chargé(e) : 
- Entretien de la salle de restaurant et des parties communes 
- Aide au service pour le petit déjeuner, le déjeuner et le diner 

Missions principales :
- Entretenir des locaux 
- Nettoyer, désinfecter et ranger la chambre et l'installation sanitaire 
- Réaliser le service hôtelier auprès des résidents
- Vérifier le contenu du chariot de ménage et procéder à la préparation des solutions de nettoyage
- Intervenir dans un service lingerie 

Compétences requises : 
- Lecture de fiche technique 
- Connaissances des règles d'hygiène 
- Prise en compte des protocoles, bonnes pratiques, fiches techniques et notes de service 
- Connaissance des techniques de bionettoyage 
- Connaissance des protocoles de lutte contre les infections nosocomiales / Covid 
- Savoir repérer les modifications de l'état du résident afin d'adapter en équipe une prise en charge personnalisée et de qualité",CDI,07 - MARCOLS LES EAUX,2025-05-13T11:47:53.339Z,35H Autre,
192FFBD,Agent / Agente de nettoyage industriel (H/F),"Prestation de nettoyage quotidien sur site industriel 

- Manipuler plusieurs équipements de nettoyage, dont les chiffons, les balais professionnels et produits ménagers
- Désinfecter et nettoyer toutes les surfaces (meubles, vitres, sols, etc.) ; Dépolluer en aérant les locaux, pièces, espaces,
- Témoigner d'un savoir-faire  permettant d'utiliser à bon escient des machines plus complexes à l'exemple  : autolaveuse, aspirateur
- Vider les corbeilles, nettoyer les vitres, les murs et le carrelage
- Honorer toutes les règles d'hygiène, mais aussi de sécurité, en application du lieu de travail 
- Respecter et suivre l'agenda / le planning et remplir les documents de suivi",CDI,07 - Lagorce,2025-05-09T16:20:28.166Z,temps partiel - 27H30 Autre,Horaire de 11.88 Euros à 12.17 Euros
192DGFD,MONITEUR D'ATELIER 2EME CLASSE (F/H) à LALEVADE D'ARDECHE,"Le moniteur d'atelier définit et assure la prise en charge socio-professionnelle de personnes en situation de handicap, de dépendance ou d'inadaptation sociale, dans le cadre d'activités techniques de production ou d'apprentissage. Il répond aux exigences de la production en termes de délais, de quantité et de qualité, et veille au développement des compétences des personnes en vue de favoriser leur évolution, leur autonomie et la réussite de leur projet individuel.
GESTION DE LA PRODUCTION
- Répartir le travail en mettant en adéquation les capacités des personnes et les compétences et aptitudes requises aux différents postes de travail
- Superviser la réalisation des commandes et mettre en place des actions correctives en cas de non-conformité
- Assurer la bonne tenue de son secteur d'activité ainsi que le bon fonctionnement des machines, participer activement, comme exécutant si besoin, à la production de son atelier pour satisfaire son donneur d'ordre
- Veiller aux conditions de travail et à la sécurité des personnes, s'assurer du respect des règles d'hygiène, de sécurité et mettre en place des actions correctives
- Responsabiliser les travailleurs handicapés en les impliquant dans l'obtention de la qualité des produits, des prestations fournies et des délais
- Assurer les relations avec les clients internes et externes
- En cas de conflits, rassurer et calmer le groupe ou la personne
ENSEIGNEMENT TECHNIQUE
- Observer et écouter les personnes afin de déterminer leurs capacités et leurs difficultés
- Adapter le travail et les postes de travail en fonction des difficultés rencontrées par les membres de l'équipe
- Transmettre ses connaissances techniques et les gestes professionnels
- Organiser et animer des activités de soutien qui conditionnent l'exercice de l'activité professionnelle
- Aider le travailleur à réaliser ses objectifs (qui ont été fixés lors de bilans annuels)
ACCOMPAGNEMENT DES PROJETS INDIVIDUELS
- Participer à la collecte des informations concernant la personne, dans l'établissement en lien avec l'extérieur
- Formaliser le projet de la personne en rédigeant le contrat d'aide et de soutien et l'avenant annuel (contrat d'engagement)
- Suivre la progression de la personne, suivre son évolution dans le cadre de son projet
- Participer à la constitution du dossier des personnes
- Participer à l'élaboration des fiches de suivi et habilitations des opérateurs, et les tenir à jour
- Valoriser les personnes à travers leur activité, veiller ne pas les mettre en situation d'échec
METTRE EN OEUVRE DES RELATIONS AVEC LES EMPLOYEURS EN LATIERE D'INSERTION
- Coordonner les activités et organiser les modalités concourant aux détachements à l'extérieur
- Apporter un appui technique aux employeurs en matière d'insertion
- Négocier les modes de collaboration avec les acteurs de l'entreprise
GESTION DOCUMENTAIRE
- Émettre les feuilles de travail à partir du logiciel de gestion
- Réaliser les codifications de poste
- Par délégation et sous la responsabilité du responsable qualité, gérer les différents enregistrements liés à l'exécution d'une commande
TRAVAIL EN EQUIPE
- Travailler sous la coordination de l'équipe médicoéducative pour l'organisation générale de l'atelier et la gestion sociale de l'équipe
- Faire l'intermédiaire avec les autres professionnels en charge des travailleurs ou usagers de son équipe (les éducateurs techniques spécialisés notamment), en particulier lorsqu'un problème survient et qu'il sort du cadre strictement professionnel
- Déclencher et animer les réunions de synthèse de ses référés

Poste basé à LALEVADE D'ARDECHE",CDI,07 - LALEVADE D ARDECHE,2025-05-07T17:34:13.791Z,35H Autre,
192BGQR,Magasinier / Magasinière (H/F),"Missions :
Vous réceptionnez le matériel et vérifiez la conformité du bon de livraison. Vous préparez également les commandes.
Vous gérez la zone de stockage et serez amené(e) à réaliser le montage de certains matériels.

Vous savez appliquer des process informatiques. Un bon niveau sur les outils numériques est exigé.

Une expérience dans le domaine est souhaitée à minima.
Le Caces 3 est un plus !

Une immersion est prévue avant recrutement pour évaluer les compétences.
09h00 12h00 / 14h00 19h00 du lundi au vendredi


",CDI,07 - AUBENAS,2025-05-06T14:29:38.082Z,39H Autre,Mensuel de 2008.00 Euros sur 12 mois
191ZPZG,Conducteur / Conductrice de ramassage scolaire (H/F),"Besoin urgent ! 
Recherche chauffeur, avec 3 ANS de permis pour assurer du transport scolaire, conduite de mini bus sur boite auto, Départ de Saint Georges les bains à destination du bassin valentinois.
30h semaine, Départ de 7H45 retour 10H30 , Reprise 16H 18H30, repos dimanche, le samedi est travaillé en rotation avec l'équipe.
Vous êtes sérieux, respectueux des personnes et des biens, nous attendons votre candidature !

",CDI,07 - ST GEORGES LES BAINS,2025-05-06T10:03:23.455Z,temps partiel - 30H Autre,Horaire de 11.88 Euros
191YPDS,Agent d'entretien en CDI (H/F),"Nous sommes à la recherche d'un(e) agent d'entretien pour rejoindre notre équipe à Tournon-sur-Rhône.
Vous serez chargé(e) de maintenir la propreté et l'ordre des locaux de notre client.

Vos jours d'intervention seront du lundi au samedi.

Vos missions consisteront à réaliser le nettoyage conformément à une fiche de poste définie :
-Passer l'aspirateur balayer et laver les sols.
-Nettoyer les surfaces.
-Nettoyer les sanitaires.
-Vider les poubelles.

Compétences requises :
-Expérience préalable dans le domaine du nettoyage.
-Capacité à travailler de manière autonome et à respecter les délais.
-Capacité à suivre des instructions écrites et verbales.

Si vous êtes une personne motivée, organisée et que vous avez une excellente attention au détail, nous serions ravis de vous rencontrer,",CDI,07 - Tournon-sur-Rhône,2025-05-05T13:07:50.749Z,temps partiel - 7H30 Autre,Horaire de 11.88 Euros à 12.5 Euros
191XTZV,EMPLOYÉ POLYVALENT / EMPLOYÉE POLYVALENTE EN PÂTISSERIE BOUTIQUE (H/F),"Nous recherchons, une personne en CDI à temps plein, soit 37H / semaine, ayant minimum 2 années d'expérience à un poste similaire.

Vous serez chargé/e de:
-L'accueil clientèle
-La vente et encaissement
-L'entretien de la boutique
-L'emballage et l'étiquetage 
-Aide au laboratoire

Qualités requises:
-Souriant/e
-Dynamique et motivé/e
-Soucieux/se de bien faire

Si votre profil correspond à tous ces critères, n'hésitez pas à nous transmettre votre CV et votre lettre de motivation par mail: patisserie_degraeve@outlook.fr ou bien directement en boutique.",CDI,07 - DAVEZIEUX,2025-05-03T19:46:53.027Z,37H Autre,Mensuel de 1930.59 Euros sur 12.0 mois
191WDXZ,ASH en renfort AS (H/F),"Plusieurs postes à pourvoir, à temps plein ou temps partiel, de jour

EHPAD de Joyeuse (07260), de Chambonas (07140), et de Valgorge (07110)

Rémunération selon expérience",CDI,07 - JOYEUSE,2025-04-30T15:14:42.759Z,35H Autre,
191WDDZ,Commercial (F/H),"Votre agence Randstad, spécialisée dans les métiers du commerce et de la vente, vous offre de nombreuses opportunités d'emploi et vous accompagne tout au long de votre carrière.

Vous êtes animé(e) par le goût du challenge, la satisfaction client et la performance commerciale ? Rejoignez l'équipe de notre client au sein d'une concession automobile reconnue pour son professionnalisme et la qualité de ses services ! 
En tant que commercial(e) en vente automobile, vous interviendrez à 50% sur le terrain (prospection) et 50% en concession, avec une triple casquette :

Vendeur(se) : Accompagner les clients dans l'achat de leur véhicule neuf ou d'occasion.
Financier(ère) : Proposer des solutions de financement et des produits complémentaires adaptés aux besoins des clients.
Acheteur(se) : Évaluer les véhicules d'occasion, gérer les reprises et les propositions de rachat.

Vos taches :
-Prospecter de nouveaux clients particuliers et professionnels (B to C en concession, B to B sur le terrain).
-Fidéliser une clientèle existante.
-Participer à des événements commerciaux (foires, salons, journées portes ouvertes).
-Être force de proposition dans les actions commerciales locales.
-Travailler en synergie avec les équipes internes pour atteindre les objectifs de vente.

Rémunération et Avantages:
Rémunération composée d'un fixe + commissions sur ventes non plafonnées. 
Avantages : Véhicule de fonction + téléphone professionnel.

Nous recherchons un profil (F/H) ayant une expérience commerciale de minimum 3 ans, idéalement en BtoC ou BtoB terrain (expérience automobile non obligatoire). Et titulaire idéalement d'un niveau Bac +2.
Permis B obligatoire.

Vous êtes de nature à aimer les défis, les challenges et la performance.
Pugnace et Autonome vous êtes passionné par la relation client et avez un esprit ""gagneur"".

Vous recherchez une société ou vous pouvez évoluer facilement et ou vos résultats sont reconnus ? 

N'attendez plus et postulez directement sur cette annonce ou contacter Luke & Walter de l'agence Randstad Annonay ( 04 - 75 - 33 - 46 -70 )!",CDI,07 - DAVEZIEUX,2025-04-30T15:01:40.197Z,35H Autre,Annuel de 21622.0 Euros sur 12.0 mois
191VVSF,ASSISTANT SOCIAL (H/F),"Évaluer, informer, orienter, soutenir les résidents (et patients) et leur famille pour définir le plan d'action adapté en lien avec le projet individuel (pour les patients : tout au long de leur parcours de santé).
Favoriser l'accès aux soins et aux droits (aide à la constitution des dossiers d'accès aux droits CPAM, CAF, APA, MDPH.) Veiller à la protection des personnes vulnérables
Contribuer à l'élaboration du projet de sortie (retour à domicile, orientation sociale et médico-sociale) en collaboration avec le patient, sa famille et les équipes pluridisciplinaires.
Développer un réseau de proximité favorisant les liens avec les partenaires des secteurs impliqués dans la prise en charge du patient 
Contribuer aux projets institutionnels et du service social.

Diplôme Assistant Social exigé",CDI,07 - ST AGREVE,2025-04-30T12:22:48.478Z,temps partiel - 21H Autre,
191VBST,Employé(e) commercial(e) polyvalent(e) (H/F),"Venez rejoindre une équipe dynamique.
Vous aurez la responsabilité du remplissage d'un rayon et de sa bonne tenue ( façing affichage prix et réapprovisionnement).
Vous serez également formé au poste d'hote(sse) de caisse car notre équipe est polyvalente.
Vous participerez également à la tenue du secteur épicerie avec l'équipe déjà en poste.

C'est un poste polyvalent.",CDI,07 - CHAMBONAS,2025-04-29T18:36:34.423Z,36H45 Autre,
191VBSP,Employé(e) commercial(e) polyvalent(e) (H/F),"Venez rejoindre une équipe dynamique.
Vous aurez la responsabilité du remplissage d'un rayon frais et de sa bonne tenue ( façing affichage prix et réapprovisionnement).
Vous serez également formé au poste d'hote(sse) de caisse car notre équipe est polyvalente.
Vous participerez également à la tenue du secteur épicerie avec l'équipe déjà en poste.

C'est un poste polyvalent.",CDI,07 - CHAMBONAS,2025-04-29T18:35:30.219Z,36H45 Autre,
191VBRT,Employé polyvalent / Employée polyvalente de libre-service (H/F),"Nous sommes à la recherche d'une personne dynamique pour venir rejoindre notre équipe au rayon légumes et surgelés.
Vous aurez en charge le remplissage et l'entretien de ces deux rayons les après midis.
lundi mercredi vendredi 13h19h15
mardi jeudi samedi 13h15 19h15
Nous ne travaillons le dimanche que sur la période estivale soit du 1er juillet au 31 aout.",CDI,07 - CHAMBONAS,2025-04-29T18:30:44.010Z,36H45 Autre,
191PXHR,Éducateur / Éducatrice de jeunes enfants (H/F),"URGENT
Nous recrutons un/une EJE diplômé(e) d'état, pour notre crèche associative ""La compagnie des loustics"" située sur la commune de Davézieux. Disposant de 21 places, la structure est ouverte du lundi au vendredi de 7h30 à 18h30 hors jours fériés. 
CDI 30h/semaine.

Bienveillant(e) et créatif(ve), vous organiserez l'accueil des enfants et de leur famille :

Vous contribuerez à l'éveil des enfants, en veillant à leur santé et leur sécurité. 
Vous garantirez la mise en œuvre des moyens nécessaires à leur développement : l'acquisition de leur autonomie, de leur apprentissage de la vie en collectivité, de leur bien-être... 
Vous travaillerez en lien avec les parents, afin qu'ils participent à la vie de la structure et entretiendrez des contacts privilégiés avec eux pour garantir une continuité éducative.
Vous coordonnerez le travail d'équipe et travaillerez en partenariat avec les acteurs petite enfance du territoire.
Vous assurerez la continuité de direction et favoriserez les liens entre l'équipe de terrain et la directrice.",CDI,07 - DAVEZIEUX,2025-04-25T10:07:53.614Z,temps partiel - 30H Autre,Mensuel de 1962.32 Euros sur 12.0 mois
191MJFR,Agent / Agente de sécurité (H/F),"Cherche agent de sécurité sachant travailler en équipe ayant un bon relationnel .
Vous aurez en charge la surveillance d'un magasin d'habillement ou de déstockage.
Vous aurez pour missions principales:
  - le contrôle d'accès du site et des visiteurs,
  - la gestion des alarmes et des levées de doutes,
  - les rondes de sécurité sur l'ensemble du site,
  - la surveillance vidéo au poste de contrôle de sécurité.

carte professionnel à jour et SST souhaité

PRESENTATION DE L ENTREPRISE:
Nous nous engageons a offrir des services de qualité afin d'obtenir une réelle satisfaction par le biais de nos prestations.
en venant nous rejoindre vous bénéficiez d'une prise en charge a hauteur de 50% du ticket de transport et de la mutuelle entreprise.",CDI,07 - ST PRIEST,2025-04-23T10:35:31.113Z,35H Autre,Mensuel de 1912.24 Euros sur 12.0 mois
191JYHR,Équipier / Équipière logistique (H/F),"Rejoindre L'Entrepôt du Bricolage, filiale du Groupe SAMSE, c'est découvrir une entreprise dynamique où chacun contribue à un projet commun. Avec nos 2500 collaborateurs engagés, nous incarnons des valeurs fortes de partage, de confiance et de bienveillance. Chez nous la qualité des relations humaines est primordiale et nous t'offrons un environnement où tes talents peuvent s'épanouir. Prêt(e) à faire équipe et à tracer un avenir commun ?

Le Groupe SAMSE est un groupe Audacieux qui cultive la Proximité avec ses collaborateurs(trices), ses clients et ses fournisseurs. 75% de nos salariés(ées) sont actionnaires du Groupe, et toi ? viens bâtir l'avenir avec nous !

Pour toi l'optimisation des flux logistiques est primordiale, tu consacres toute ton énergie à proposer des solutions adaptées pour ton magasin.
Les valeurs du collectif et d'entraide sont importantes, et tu souhaites rejoindre une équipe unie et motivée.

Le poste d'Equipier(ère) logistique magasin à L'Entrepôt du Bricolage d'Aubenas (07 - Ardèche) est fait pour toi !

Tu as un poste clé qui t'offre de réelles opportunités. Rattaché(e) au Responsable logistique, tes missions seront les suivantes :
Réceptionner et stocker les marchandises dans un souci permanent d'efficacité
Effectuer la mise en rayon et le réassort des produits en respectant les consignes de sécurité
Préparer les commandes de nos clients et participer à l'aide au chargement des marchandises dans leurs véhicules
 Effectuer la découpe sur mesure du bois

 Effectuer la livraison de nos produits dans nos brico-retrait

Tu disposes d'une expérience dans le commerce et/ou la logistique, ton organisation, ta rigueur, ton dynamisme, et ton sens de la communication seront des atouts de réussites.

Si ta motivation est ton fil conducteur, alors nous t'apprendrons ton nouveau métier. Au-delà d'un diplôme, c'est ta personnalité qui fera la différence.

Au sein du Groupe SAMSE, nous sommes convaincus que la diversité des talents est une richesse. Nous encourageons les candidatures de toutes les personnes qui souhaitent contribuer à notre dynamique collective.

Nous te proposons:
- Un CDI à temps plein basé à Aubenas
- Une rémunération attractive qui valorisera ta performance et ta motivation à partir de 1815€ brut
- Une prime d'intéressement
- Une prime de participation
- Un fond commun de placement
- Une protection sociale (mutuelle et prévoyance)
- Une carte société (groupe) qui te permettra d'avoir des prix préférentiels sur les produits de nos enseignes
- Des négociations annuelles obligatoires.

Horaire : Plannings adaptés selon l'amplitude horaire de 6h à 19h. Travail le samedi. Jours de repos fixe + dimanche.

Pour le bien-être de nos collaborateurs, nos magasins sont fermés les dimanches et jours fériés.

Et au-delà...
Tu vas pouvoir te construire un parcours qui te ressemble vraiment. Tu pourras, par exemple, évoluer sur un poste de Responsable logistique. Dans le cadre de notre politique de mobilité interne, tu pourras découvrir d'autres métiers, enseignes ou régions.

Un intérêt pour cette annonce ?

Déroulement du processus de recrutement:
1. Entretien téléphonique
2. Entretien avec le manager.

Rejoins L'Entrepôt du bricolage, une entreprise avec de fortes valeurs humaines!
2500 collaborateurs (trices), 37 magasins en France.",CDI,07 - Aubenas,2025-04-18T15:32:56.048Z,35H Autre,Mensuel de 1815.0 Euros à 1950.0 Euros sur 12.0 mois
190YRKV,PLONGE Poste du SOIR (H/F),"Poste à pourvoir de plongeur commis au sein de l'EHPAD sous l'autorité chef de cuisine. 

Horaires 17H30 à 20H30 du lundi au vendredi.
Poste à pourvoir DE SUITE ",CDI,07 - AUBENAS,2025-04-11T08:59:33.522Z,temps partiel - 15H Autre,Mensuel de 912.0 Euros sur 12.0 mois
190CBVG,Auxiliaire de vie sociale h/f à Tournon sur Rhône,"Au domicile des bénéficiaires vous intervenez selon un planning d'activités définies. 
Vous accompagnez les personnes pour : 
- aide à la toilette
- aide au lever/au coucher/transfert
- changes/soin de nursing
- aide dans les gestes de la vie courante. 

Vous travaillez en semaine et 1 weekend sur 7, sur le secteur de Tournon sur Rhône. Contrat en CDI à temps partiel de 104 heures mensuelles (volume horaire évolutif et adaptable). En complément de salaire, vous bénéficiez d'une aide au frais de déplacements (aide aux frais KM).",CDI,07 - TOURNON SUR RHONE,2025-03-25T15:31:53.706Z,temps partiel - 24H Au domicile d’un particulier,
192XZLL,PEINTRE JOINTEUR PLAQUISTE (H/F),"Nous recherchons un peintre expérimenté, capable de réaliser les travaux suivants :

Pose de bandes (joints)

Travaux de plâtrerie (placo)

Peinture intérieure

Nous recherchons une personne titulaire du permis de conduire, car des déplacements sont à prévoir.
Poste en CDI à pourvoir à partir de juin 2025.
Temps plein : 35 heures par semaine.
Salaire : 1 500 € nets par mois.",CDI,07 - AUBENAS,2025-05-24T08:20:38.458Z,35H Travail en journée,Mensuel de 1900.0 Euros à 2000.0 Euros sur 12.0 mois
