offre_id,competence_code,competence_libelle
191GJMF,300282,"Entretenir, nettoyer un espace, un lieu, un local"
190ZLPV,122958,Contrats de travail
190ZLPV,122090,Gestion de la paie
190ZLPV,119437,Logiciel de paie
190ZLPV,300719,Gestion administrative du temps de travail
190ZLPV,117600,Établir un bulletin de paie
190ZLPV,123912,Préparer les éléments constitutifs de la paie
190ZLPV,300324,Concevoir des supports de suivi et de gestion
190ZLPV,403010,Réaliser des opérations liées à la gestion des ressources humaines
190ZLPV,119324,"Actualiser des processus, des méthodes et outils de gestion"
190ZLPV,122694,Réaliser la gestion des arrêts maladie
190RRLN,100341,Procédures d'encaissement
190RRLN,102995,Règles de tenue de caisse
190RRLN,300303,Procéder à l'encaissement
185FSLJ,104138,Normes d'hébergement touristique
185FSLJ,122148,Activités d'une structure d'hébergement
185FSLJ,123788,Activités d'une structure de jeux ou de loisirs
185FSLJ,119210,Effectuer la maintenance de premier niveau des outillages et des équipements
185FSLJ,119404,Évaluer les procédures de contrôle d'une structure
185FSLJ,300009,Concevoir et piloter une politique de gestion des ressources humaines
185FSLJ,300174,"Élaborer et planifier un programme de production, d'exploitation"
185FSLJ,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation"
185FSLJ,300197,"Élaborer un schéma directeur technique, définir des besoins en équipement"
185FSLJ,300411,Parler une ou plusieurs langues étrangères
185FSLJ,300426,Utiliser les outils numériques
185FSLJ,300440,"Animer, coordonner une équipe"
185FSLJ,300621,"Informer, renseigner, orienter une personne sur les prestations et services proposés"
185FSLJ,400305,Développer et fidéliser la relation des clients
185FSLJ,400306,Déterminer et mettre en place l'organisation de l'exploitation
185FSLJ,403009,Gérer les ressources humaines
192VDVV,489606,CAP commercialisation et services en hôtel-café-restaurant
192VDVV,101901,Accueillir le client et l'installer
192VDVV,117933,Effectuer le service des plats à table
192VDVV,117932,Réaliser la mise en place de la salle et de l'office
192VDVV,484953,Maintenir une communication claire et professionnelle
192VDVV,124961,Préparer des boissons chaudes ou froides
192VDVV,300448,"Respecter des règles, des consignes, normes et procédures opérationnelles"
192VDVV,300446,"Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE)"
192VDVV,403892,S'exprimer avec politesse et courtoisie
192VDVQ,124966,Types de sandwichs
192VDVQ,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192VDVQ,104227,"Préparer, assembler des plats simples"
192VDVQ,104230,"Remettre la commande au client (service à l'assiette, emballage à emporter, plateau, ...)"
192SJQR,100259,Utilisation de matériel de nettoyage
192SJQR,126384,"Nettoyer, désinfecter et ranger la chambre et l'installation sanitaire"
192SJQR,107327,Vérifier le contenu du chariot de ménage et procéder à la préparation des solutions de nettoyage
192SJQR,489977,Accompagner les personnes dans les gestes de la vie quotidienne
192SJQR,107663,Distribuer les repas et collations au patient/résident selon les besoins ou la prescription médicale
192SCCH,122827,Techniques d'ébourgeonnage
192SCCH,122828,Techniques d'effeuillage
192SCCH,100039,Techniques de soins aux arbres ou ceps
192SCCH,122826,Techniques de taille de fructification
192SCCH,122825,"Entretenir un arbre, une plantation"
192RLQG,300375,"Organiser, aménager un espace de vente"
192RLQG,300303,Procéder à l'encaissement
192RLQG,102912,Réaliser l'étiquetage de produits
192RLQG,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
192QKGH,107370,Pathologies de l'enfant
192QKGH,107371,Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne et des règles de vie en collectivité
192QKGH,107368,Accueillir des enfants
192QKGH,107369,Préparer et donner une prescription médicale à l'enfant
192QKGH,300408,"Rédiger un rapport, un compte rendu d'activité"
192QFGG,120373,Agir rapidement en cas d'accident ou d'imprévu
192QFGG,484248,Appliquer les procédures de sécurité en cas d'urgence
192QFGG,300284,Contrôler l'accès et la circulation des personnes
192QFGG,400633,Détecter et localiser tout individu ou tout comportement présentant une menace pour la sécurité/sûreté
192QFGG,400323,Gérer des situations de crise ou d'urgence
192QFGG,300480,Gérer une situation conflictuelle
192QFGG,300451,Relayer de l'information
192QFGG,108844,"Repérer les anomalies, incidents et informer les forces de l'ordre et les clients"
192MHJY,122826,Techniques de taille de fructification
192MHJY,122825,"Entretenir un arbre, une plantation"
192MHJY,122730,"Préparer les sols, les plantations (épandage, semis, etc.)"
192KWZY,120886,Logiciels comptables
192KWZY,117139,Codifier une facture
192KWZY,117140,Codifier un mandat
192KWZY,117141,Codifier un titre
192KWZY,300305,"Effectuer le suivi des commandes, la facturation"
192KRCB,300284,Contrôler l'accès et la circulation des personnes
192KRCB,300451,Relayer de l'information
192KRCB,108844,"Repérer les anomalies, incidents et informer les forces de l'ordre et les clients"
192KRCB,,carte professionnelle à  jour
192KGBK,101738,"Caractéristiques des farines levure, additifs"
192KGBK,126290,Bouler et effectuer la tourne ou le façonnage des pâtons
192KGBK,124959,Cuire des pièces de viennoiserie
192KGBK,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192KGBK,300181,"Entretenir un équipement, une machine, une installation"
192HXBZ,100259,Utilisation de matériel de nettoyage
192HXBZ,126384,"Nettoyer, désinfecter et ranger la chambre et l'installation sanitaire"
192HXBZ,107327,Vérifier le contenu du chariot de ménage et procéder à la préparation des solutions de nettoyage
192FFBD,104167,Caractéristiques des produits d'entretien
192FFBD,126141,Baliser les zones glissantes
192FFBD,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192FFBD,300152,Préparer du matériel en prévision d'un travail
192FFBD,300451,Relayer de l'information
192DGFD,300017,Accompagner une personne dans l'acquisition de connaissances
192DGFD,300174,"Élaborer et planifier un programme de production, d'exploitation"
192DGFD,300445,Évaluer et développer les compétences de ses collaborateurs
192BGQR,300265,"Charger, décharger, manutentionner des produits"
191ZPZG,120031,Documents de bord d'un véhicule
191ZPZG,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191ZPZG,300275,Transporter des passagers
191ZPZG,110536,Transporter des scolaires
191ZPZG,110527,Contrôler l'état de fonctionnement du véhicule
191YPDS,104167,Caractéristiques des produits d'entretien
191YPDS,126141,Baliser les zones glissantes
191YPDS,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191YPDS,300181,"Entretenir un équipement, une machine, une installation"
191YPDS,300152,Préparer du matériel en prévision d'un travail
191XTZV,121228,Contrôler le balisage et l'étiquetage des produits en rayon
191XTZV,300375,"Organiser, aménager un espace de vente"
191XTZV,102912,Réaliser l'étiquetage de produits
191XTZV,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
191VVSF,107834,Évaluer régulièrement les besoins de la personne
191VVSF,123916,Orienter une personne vers des partenaires relais
191VBRT,121228,Contrôler le balisage et l'étiquetage des produits en rayon
191VBRT,300375,"Organiser, aménager un espace de vente"
191VBRT,102912,Réaliser l'étiquetage de produits
191VBRT,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
191PXHR,107371,Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne et des règles de vie en collectivité
191PXHR,107372,Veiller à la sécurité de l'enfant au domicile et à l'extérieur
191PXHR,121801,Concevoir un projet éducatif
191PXHR,107848,Organiser et animer des activités ludiques et d'éveil
191MJFR,300284,Contrôler l'accès et la circulation des personnes
191MJFR,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation"
191MJFR,124181,Établir un rapport d'accident et d'incident
191MJFR,300451,Relayer de l'information
191MJFR,300506,Renseigner les supports de contrôle et de constat
191MJFR,108844,"Repérer les anomalies, incidents et informer les forces de l'ordre et les clients"
191MJFR,404879,"Vérifier les accréditations, droits d'entrée, titres d'accès"
190YRKV,104172,Utilisation de machine de plonge automatisée
190YRKV,300282,"Entretenir, nettoyer un espace, un lieu, un local"
190YRKV,104263,"Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine"
190YRKV,104262,Réaliser la plonge
190YRKV,300181,"Entretenir un équipement, une machine, une installation"
190YRKV,119622,Manipuler des produits de nettoyage et d'entretien
190YRKV,300448,"Respecter des règles, des consignes, normes et procédures opérationnelles"
190YRKV,400613,Respecter les protocoles de sécurité en vigueur
190YRKV,489877,Respecter les règles d'hygiène et de sécurité alimentaire
190YRKV,489879,Respecter les standards qualité de l'établissement
190YRKV,114538,Vérifier l'état de propreté de la vaisselle et la ranger
190CBVG,116411,Habillage / déshabillage du patient
190CBVG,103396,Techniques de levage et de transfert
190CBVG,400546,"Stimuler les capacités affectives, intellectuelles, psychomotrices et sociales d'une personne"
190CBVG,300597,Contribuer au bien-être physique d'une personne
190CBVG,489977,Accompagner les personnes dans les gestes de la vie quotidienne
190CBVG,489979,Veiller à l'hygiène corporelle des personnes
190CBVG,,savoir faire une aide à la toilette
192XDYN,104167,Caractéristiques des produits d'entretien
192XDYN,126141,Baliser les zones glissantes
192XDYN,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192XDYN,300152,Préparer du matériel en prévision d'un travail
192XDYN,300451,Relayer de l'information
192WRKM,300204,Administrer un système d'informations
192WRKM,,"Infrastructure réseau (DNS, DHCP, VLAN...)"
192WRKM,,"Outils collaboratifs : Microsoft 365, Google Works"
192WRKM,,Systèmes Windows Server & virtualisation (Hyper-V)
192WRKM,,"Bonne culture sécurité (sauvegarde,antivirus, PRA)"
192WCSP,100016,Gestes et postures de manutention
192WCSP,102405,Techniques de mise en rayon
192WCSP,116932,Assurer le suivi des stocks en temps réel
192WCSP,300378,Assurer un service après-vente
192WCSP,300379,Développer et fidéliser la relation client
192WCSP,300264,Manipuler un engin de manutention ou de chantier
192WCSP,300374,Présenter et valoriser un produit ou un service
192WCSP,300303,Procéder à l'encaissement
192WCSP,123660,Ranger des produits ou marchandises selon leurs dates de validité et les conditions de conservation
192WCSP,117468,Réaliser la mise en rayon
192WCSP,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
192VHMP,489732,Utilisation de logiciels de contrôle
192VHMP,126340,Gestion des relations clientèle
192VHMP,489782,Contrôler les équipements de freinage d'un véhicule
192VHMP,489775,Contrôler la direction et la liaison au sol d'un véhicule pour s'assurer de la conformité technique
192VHMP,489780,Contrôler les éléments liés à la visibilité et autres matériels d'un véhicule
192VHMP,489783,"Contrôler les feux, les dispositifs réfléchissants et les équipements électriques d'un véhicule"
192VHMP,489777,Contrôler le châssis et les accessoires de châssis d'un véhicule
192VHMP,489784,Contrôler les nuisances d'un véhicule pour s'assurer de la conformité technique du véhicule
192VHMP,489778,Contrôler l'ensemble des équipements spécifiques aux véhicules électriques et hybrides
192VHMP,104174,"Accueillir, orienter et renseigner un client"
192VHMP,121936,Prendre en charge un client
192VHMP,489880,Restituer le procès-verbal et transmettre les différents documents relatifs au contrôle technique
192VDWF,124935,Dresser des plats pour le service
192VDWF,300010,Aménager un poste et les conditions de travail
192TQKQ,103070,Lecture de plans et de schémas
192TQKQ,104514,Mise à jour des connaissances en mécanique
192TQKQ,100017,Règles de sécurité
192TQKQ,106186,"Vérifier le montage/assemblage (aspect, parallélisme, jeu, maintien, fonctionnement, ...) et procéder aux ajustements, retouches"
192TQKQ,106184,"Vérifier, positionner et fixer les pièces et les éléments de l'assemblage (bâtis, grappes, gabarits, structures, ...)"
192TLCD,102096,Normes d'hygiène et de propreté
192TLCD,107920,Effectuer les courses d'une personne
192TKLQ,102096,Normes d'hygiène et de propreté
192TKLQ,107920,Effectuer les courses d'une personne
192SZHK,110527,Contrôler l'état de fonctionnement du véhicule
192SZHK,110473,Optimiser un plan de chargement des marchandises
192SZHK,124795,Organiser des itinéraires de livraison optimisés
192SZHK,120377,Réaliser les opérations d'attelage
192SZHK,110474,Vérifier l'exactitude et la conformité de documents de transport de marchandises
192SYCV,117414,Méthodes de contrôle d'étanchéité
192SYCV,121168,Couper les éléments de fermetures menuisées
192SYCV,124331,Démonter une fermeture menuisée et vérifier l'état du support
192SYCV,123243,Fixer des éléments menuisés
192SYCV,103592,"Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ..."
192RXJD,104167,Caractéristiques des produits d'entretien
192RXJD,126141,Baliser les zones glissantes
192RXJD,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192RXJD,300152,Préparer du matériel en prévision d'un travail
192RXJD,300451,Relayer de l'information
192RXJD,300440,"Animer, coordonner une équipe"
192RXJD,300636,Organiser et planifier une activité
192RXFT,120031,Documents de bord d'un véhicule
192RXFT,120373,Agir rapidement en cas d'accident ou d'imprévu
192RXFT,110527,Contrôler l'état de fonctionnement du véhicule
192RXFT,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
192RXFT,300275,Transporter des passagers
192RVZN,104167,Caractéristiques des produits d'entretien
192RVZN,126141,Baliser les zones glissantes
192RVZN,125971,Définir des besoins en approvisionnement
192RVZN,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192RVZN,300152,Préparer du matériel en prévision d'un travail
192RVZN,300451,Relayer de l'information
192RTPL,300135,"Monter et régler une installation, une machine"
192RTPL,300153,"Utiliser un outil, une machine, un équipement, une installation"
192RTPL,106714,Réaliser les réglages de mise au point de l'équipement industriel ou d'exploitation et contrôler son fonctionnement
192RTPL,400355,"Lire et exploiter un plan, un schéma"
192RCML,100090,Techniques pédagogiques
192RCML,108490,Conseiller des apprenants dans l'organisation de leur travail personnel
192RCML,300022,"Enseigner, transmettre des connaissances, développer des compétences"
192RCML,108491,Renseigner des supports d'évaluation scolaire
192QKXF,123793,Contrôler l'état de conservation d'un produit périssable
192QKXF,300375,"Organiser, aménager un espace de vente"
192QKXF,300374,Présenter et valoriser un produit ou un service
192QKXF,102903,Retirer des produits non conformes
192QKVK,124919,"Cuire des viandes, poissons ou légumes"
192QKVK,124935,Dresser des plats pour le service
192QKVK,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192QKVK,124947,Éplucher des légumes et des fruits
192QKVK,104207,Préparer les viandes et les poissons
192PWXY,400409,Monter ou démonter un échafaudage
192PWXY,103566,Préparer la peinture
192PMBS,121814,Protocoles de soins
192PMBS,121815,Apporter un appui technique pour le personnel
192PMBS,300058,Concevoir des protocoles de soins
192PMBS,300449,Expliquer et faire respecter les règles et procédures
192PMBS,300487,Piloter une activité
192NZFS,100343,Législation sociale
192NZFS,119324,"Actualiser des processus, des méthodes et outils de gestion"
192NZFS,300324,Concevoir des supports de suivi et de gestion
192NZFS,124607,Réaliser des déclarations réglementaires
192NYSW,125252,Techniques de nettoyage des moquettes
192NYSW,104167,Caractéristiques des produits d'entretien
192NYSW,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192NYSW,300152,Préparer du matériel en prévision d'un travail
192NYSW,126141,Baliser les zones glissantes
192MZSP,107474,Concevoir un projet thérapeutique
192MZSP,107494,"Détecter des contre-indications suite à des fractures, des infections osseuses et orienter le patient vers un médecin, psychologue, ..."
192MZSP,107496,Organiser la séance de kinésithérapie et l'adapter
192MZSP,107493,Réaliser le diagnostic masso kinésithérapique à partir de tests de force musculaire et de posture
192MZSP,300408,"Rédiger un rapport, un compte rendu d'activité"
192MQKC,123793,Contrôler l'état de conservation d'un produit périssable
192MQKC,125971,Définir des besoins en approvisionnement
192MQKC,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192MQKC,118069,Gérer une caisse
192MQKC,300375,"Organiser, aménager un espace de vente"
192MQKC,300374,Présenter et valoriser un produit ou un service
192MQKC,300303,Procéder à l'encaissement
192MQKC,117468,Réaliser la mise en rayon
192MQKC,102903,Retirer des produits non conformes
192MCSD,103070,Lecture de plans et de schémas
192MCSD,103598,Menuiserie PVC
192MCSD,121182,Installer une serrure et des accessoires de fermeture
192MCSD,300152,Préparer du matériel en prévision d'un travail
192MCSD,300233,"Réaliser les travaux de montage, d'assemblage"
192MCSD,300451,Relayer de l'information
192LVFN,107715,Réaliser des soins infirmiers
192LQPY,483323,"Adapter les recettes pour des besoins spécifiques (allergies, régimes alimentaires, préférences)"
192LQPY,403326,Assurer la propreté de la zone de travail
192LQPY,403583,Assurer le respect des normes d'hygiène et de sécurité alimentaire
192LQPY,403391,Commander les produits et matières premières auprès des différents fournisseurs et agriculteurs de sa région
192LQPY,300091,Concevoir des recettes et menus
192LQPY,483183,Créer des menus saisonniers pour refléter la diversité des produits
192LQPY,124919,"Cuire des viandes, poissons ou légumes"
192LQPY,119439,Cuisiner des sauces pour accompagner les produits
192LQPY,489791,Déterminer les coûts de revient des préparations culinaires
192LQPY,124935,Dresser des plats pour le service
192LQPY,122877,Entretenir des équipements de cuisine professionnelle
192LQPY,300298,"Evacuer et trier des déchets, des produits"
192LQPY,402226,Favoriser un environnement de travail collaboratif
192LQPY,403497,Gérer l'approvisionnement des matières premières nécessaires en cuisine afin d'éviter les excédents ou la rupture de stock
192LQPY,485917,Gérer les urgences et les imprévus en cuisine
192LQPY,483178,Gérer le timing de préparation pour un service efficace
192LQPY,403537,"Goûter les préparations culinaires, ajuster leur assaisonnement et prêter attention à l'esthétique des plats avant de les servir"
192LQPY,483181,Optimiser les coûts des ingrédients tout en maintenant la qualité
192LQPY,403543,"Organiser le stockage des denrées, en les triant par dates de péremption par exemple"
192LQPY,403609,Participer à l'élaboration des menus et des cartes avec le responsable de restaurant et/ou d'établissement
192LQPY,300090,Préparer des plats culinaires
192LQPY,104207,Préparer les viandes et les poissons
192LQPY,114513,"Réaliser des tests de contrôle de fraîcheur des aliments, des préparations et prélever des échantillons pour le service d'hygiène"
192LQPY,489852,"Réaliser les fiches techniques pour chaque plat (ingrédients, quantités, prix, ...)"
192LQPY,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
192LPPD,107715,Réaliser des soins infirmiers
192LKNN,116477,Indicateurs de suivi d'activité
192LKNN,100822,Techniques d'usinage
192LKNN,300256,Contrôler la qualité et la conformité d'un livrable
192LKNN,300135,"Monter et régler une installation, une machine"
192LKNN,300175,"Piloter la gestion de la production, de l'exploitation"
192LHDW,107908,Accompagner la mise en oeuvre d'un projet socioéducatif et proposer des axes d'adaptation à la personne
192LHDW,404186,"Adapter son comportement, sa pratique professionnelle aux situations"
192LHDW,300474,"Alerter, demander un appui ou un arbitrage"
192LHDW,489996,Appliquer le projet socioéducatif avec la personne et lui proposer des axes d'adaptation en concertation avec l'équipe
192LHDW,300436,Organiser le travail d'une équipe
192LCBS,103070,Lecture de plans et de schémas
192LCBS,100822,Techniques d'usinage
192LCBS,104807,Utilisation d'instruments de mesure tridimensionnelle
192LCBS,118331,Utilisation d'outillage manuel
192LCBS,300256,Contrôler la qualité et la conformité d'un livrable
192LCBS,119210,Effectuer la maintenance de premier niveau des outillages et des équipements
192LCBS,402279,Régler les paramètres d'usinage
192KXCV,108568,Règles de conduite et de sécurité routière
192KXCV,123048,Évaluer la conduite d'un élève
192KXCV,124590,"Évaluer le nombre d'heures de code, de conduite ou de pilotage"
192KXCV,123191,Former à la conduite d'un véhicule
192KQJR,124919,"Cuire des viandes, poissons ou légumes"
192KQJR,124935,Dresser des plats pour le service
192KQJR,124947,Éplucher des légumes et des fruits
192KQJR,104207,Préparer les viandes et les poissons
192KQJR,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192KPMV,104679,Méthodes process
192KPMV,114564,Procédés de fabrication ou d'industrialisation
192KPMV,402014,Accompagner la réalisation de préséries et le démarrage de l'industrialisation de produits
192KPMV,123311,Analyser un dysfonctionnement ou une non-conformité
192KPMV,121049,"Apporter un appui technique aux services qualité, maintenance, méthodes, inspection"
192KPMV,114622,"Concevoir ou adapter des outillages et les décrire sous forme de plans, schémas, cahiers des charges"
192KPMV,300322,"Contrôler des indicateurs de performance, analyser et corriger des écarts"
192KPMV,122852,Documenter les procédures de fabrication
192KPMV,300146,Élaborer des processus et des modes opératoires techniques
192KPMV,300308,Estimer les coûts et les délais d'une activité ou d'une prestation
